"Time (s) E5-Rod-T1","Angle (rad) E5-Rod-T1","Angular Velocity (rad/s) E5-Rod-T1","Angular Acceleration (rad/s²) E5-Rod-T1","Position (m) E5-Rod-T1","Velocity (m/s) E5-Rod-T1","Acceleration (m/s²) E5-Rod-T1","Time (s) E5-Rod-T2","Angle (rad) E5-Rod-T2","Angular Velocity (rad/s) E5-Rod-T2","Angular Acceleration (rad/s²) E5-Rod-T2","Position (m) E5-Rod-T2","Velocity (m/s) E5-Rod-T2","Acceleration (m/s²) E5-Rod-T2","Time (s) E5-Rod-T3","Angle (rad) E5-Rod-T3","Angular Velocity (rad/s) E5-Rod-T3","Angular Acceleration (rad/s²) E5-Rod-T3","Position (m) E5-Rod-T3","Velocity (m/s) E5-Rod-T3","Acceleration (m/s²) E5-Rod-T3","Time (s) E5-M1-T1","Angle (rad) E5-M1-T1","Angular Velocity (rad/s) E5-M1-T1","Angular Acceleration (rad/s²) E5-M1-T1","Position (m) E5-M1-T1","Velocity (m/s) E5-M1-T1","Acceleration (m/s²) E5-M1-T1","Time (s) E5-M1-T2","Angle (rad) E5-M1-T2","Angular Velocity (rad/s) E5-M1-T2","Angular Acceleration (rad/s²) E5-M1-T2","Position (m) E5-M1-T2","Velocity (m/s) E5-M1-T2","Acceleration (m/s²) E5-M1-T2","Time (s) E5-M1-T3","Angle (rad) E5-M1-T3","Angular Velocity (rad/s) E5-M1-T3","Angular Acceleration (rad/s²) E5-M1-T3","Position (m) E5-M1-T3","Velocity (m/s) E5-M1-T3","Acceleration (m/s²) E5-M1-T3","Time (s) E5-M2-T1","Angle (rad) E5-M2-T1","Angular Velocity (rad/s) E5-M2-T1","Angular Acceleration (rad/s²) E5-M2-T1","Position (m) E5-M2-T1","Velocity (m/s) E5-M2-T1","Acceleration (m/s²) E5-M2-T1","Time (s) E5-M2-T2","Angle (rad) E5-M2-T2","Angular Velocity (rad/s) E5-M2-T2","Angular Acceleration (rad/s²) E5-M2-T2","Position (m) E5-M2-T2","Velocity (m/s) E5-M2-T2","Acceleration (m/s²) E5-M2-T2","Time (s) E5-M2-T3","Angle (rad) E5-M2-T3","Angular Velocity (rad/s) E5-M2-T3","Angular Acceleration (rad/s²) E5-M2-T3","Position (m) E5-M2-T3","Velocity (m/s) E5-M2-T3","Acceleration (m/s²) E5-M2-T3","Time (s) E5-M3-T1","Angle (rad) E5-M3-T1","Angular Velocity (rad/s) E5-M3-T1","Angular Acceleration (rad/s²) E5-M3-T1","Position (m) E5-M3-T1","Velocity (m/s) E5-M3-T1","Acceleration (m/s²) E5-M3-T1","Time (s) E5-M3-T2","Angle (rad) E5-M3-T2","Angular Velocity (rad/s) E5-M3-T2","Angular Acceleration (rad/s²) E5-M3-T2","Position (m) E5-M3-T2","Velocity (m/s) E5-M3-T2","Acceleration (m/s²) E5-M3-T2","Time (s) E5-M3-T3","Angle (rad) E5-M3-T3","Angular Velocity (rad/s) E5-M3-T3","Angular Acceleration (rad/s²) E5-M3-T3","Position (m) E5-M3-T3","Velocity (m/s) E5-M3-T3","Acceleration (m/s²) E5-M3-T3","Time (s) E5-M4-T1","Angle (rad) E5-M4-T1","Angular Velocity (rad/s) E5-M4-T1","Angular Acceleration (rad/s²) E5-M4-T1","Position (m) E5-M4-T1","Velocity (m/s) E5-M4-T1","Acceleration (m/s²) E5-M4-T1","Time (s) E5-M4-T2","Angle (rad) E5-M4-T2","Angular Velocity (rad/s) E5-M4-T2","Angular Acceleration (rad/s²) E5-M4-T2","Position (m) E5-M4-T2","Velocity (m/s) E5-M4-T2","Acceleration (m/s²) E5-M4-T2","Time (s) E5-M4-T3","Angle (rad) E5-M4-T3","Angular Velocity (rad/s) E5-M4-T3","Angular Acceleration (rad/s²) E5-M4-T3","Position (m) E5-M4-T3","Velocity (m/s) E5-M4-T3","Acceleration (m/s²) E5-M4-T3"
2.720,-0.146,0.785,1.309,-0.0035,0.019,0.031,2.720,-0.108,0.000,1.309,-0.0026,0.000,0.031,2.720,0.124,-0.681,-2.182,0.0030,-0.016,-0.052,2.720,0.049,0.471,1.309,0.0012,0.011,0.031,2.720,-0.107,-0.733,1.745,-0.0026,-0.018,0.042,2.720,-0.097,-0.838,-1.745,-0.0023,-0.020,-0.042,2.720,0.002,0.471,5.672,3.7500E-5,0.011,0.135,2.720,0.082,0.445,-0.873,0.0019,0.011,-0.021,2.720,0.028,0.550,2.618,6.7500E-4,0.013,0.063,2.720,0.121,0.367,-3.491,0.0029,0.009,-0.083,2.720,-0.110,-0.367,0.436,-0.0026,-0.009,0.010,2.720,-0.110,-0.079,5.672,-0.0026,-0.002,0.135,2.720,0.151,0.393,-10.036,0.0036,0.009,-0.240,2.720,-0.074,-0.471,1.309,-0.0018,-0.011,0.031,2.720,0.212,1.126,-2.182,0.0051,0.027,-0.052
2.730,-0.138,0.785,-0.873,-0.0033,0.019,-0.021,2.730,-0.108,0.000,0.873,-0.0026,0.000,0.021,2.730,0.116,-0.707,-0.873,0.0028,-0.017,-0.021,2.730,0.053,0.471,0.436,0.0013,0.011,0.010,2.730,-0.113,-0.707,1.309,-0.0027,-0.017,0.031,2.730,-0.107,-0.838,1.745,-0.0026,-0.020,0.042,2.730,0.006,0.550,5.672,1.5000E-4,0.013,0.135,2.730,0.086,0.445,-1.309,0.0021,0.011,-0.031,2.730,0.033,0.576,4.363,7.8750E-4,0.014,0.104,2.730,0.124,0.314,-6.545,0.0030,0.007,-0.156,2.730,-0.113,-0.393,-0.436,-0.0027,-0.009,-0.010,2.730,-0.110,-0.026,3.927,-0.0026,-6.250E-4,0.094,2.730,0.154,0.236,-10.472,0.0037,0.006,-0.250,2.730,-0.079,-0.445,2.182,-0.0019,-0.011,0.052,2.730,0.223,1.100,-1.745,0.0053,0.026,-0.042
2.740,-0.130,0.759,-2.182,-0.0031,0.018,-0.052,2.740,-0.108,0.000,1.309,-0.0026,0.000,0.031,2.740,0.110,-0.707,0.873,0.0026,-0.017,0.021,2.740,0.058,0.471,7.494E-14,0.0014,0.011,2.255E-15,2.740,-0.121,-0.707,1.309,-0.0029,-0.017,0.031,2.740,-0.115,-0.785,3.491,-0.0027,-0.019,0.083,2.740,0.013,0.602,3.491,3.0000E-4,0.014,0.083,2.740,0.091,0.419,-2.182,0.0022,0.010,-0.052,2.740,0.039,0.628,5.672,9.3750E-4,0.015,0.135,2.740,0.127,0.209,-7.418,0.0030,0.005,-0.177,2.740,-0.118,-0.419,2.182,-0.0028,-0.010,0.052,2.740,-0.110,0.000,2.618,-0.0026,0.000,0.062,2.740,0.154,0.131,-6.109,0.0037,0.003,-0.146,2.740,-0.083,-0.419,2.182,-0.0020,-0.010,0.052,2.740,0.234,1.100,-3.054,0.0056,0.026,-0.073
2.750,-0.123,0.733,-2.182,-0.0029,0.017,-0.052,2.750,-0.108,0.026,2.182,-0.0026,6.250E-4,0.052,2.750,0.102,-0.681,2.182,0.0024,-0.016,0.052,2.750,0.063,0.471,-1.138E-13,0.0015,0.011,-1.995E-15,2.750,-0.127,-0.707,2.618,-0.0030,-0.017,0.063,2.750,-0.123,-0.733,2.618,-0.0029,-0.018,0.063,2.750,0.019,0.628,0.873,4.5000E-4,0.015,0.021,2.750,0.094,0.393,-2.618,0.0022,0.009,-0.063,2.750,0.046,0.707,5.236,0.0011,0.017,0.125,2.750,0.129,0.131,-5.236,0.0031,0.003,-0.125,2.750,-0.123,-0.367,6.109,-0.0029,-0.009,0.146,2.750,-0.110,0.000,3.491,-0.0026,0.000,0.083,2.750,0.156,0.131,-2.618,0.0037,0.003,-0.063,2.750,-0.086,-0.393,1.309,-0.0021,-0.009,0.031,2.750,0.245,1.073,-6.109,0.0058,0.026,-0.146
2.760,-0.116,0.707,-1.309,-0.0028,0.017,-0.031,2.760,-0.108,0.052,3.054,-0.0026,0.001,0.073,2.760,0.096,-0.654,2.182,0.0023,-0.016,0.052,2.760,0.068,0.471,-1.998E-13,0.0016,0.011,-4.250E-15,2.760,-0.135,-0.654,4.363,-0.0032,-0.016,0.104,2.760,-0.129,-0.733,0.873,-0.0031,-0.017,0.021,2.760,0.025,0.602,1.110E-13,6.0000E-4,0.014,2.776E-15,2.760,0.099,0.367,-2.618,0.0024,0.009,-0.063,2.760,0.053,0.759,2.618,0.0013,0.018,0.062,2.760,0.129,0.105,-2.618,0.0031,0.002,-0.063,2.760,-0.126,-0.262,6.981,-0.0030,-0.006,0.167,2.760,-0.110,0.052,5.672,-0.0026,0.001,0.135,2.760,0.157,0.131,-3.054,0.0038,0.003,-0.073,2.760,-0.091,-0.393,0.873,-0.0022,-0.009,0.021,2.760,0.256,0.969,-8.290,0.0061,0.023,-0.198
2.770,-0.108,0.707,-0.873,-0.0026,0.017,-0.021,2.770,-0.107,0.079,3.927,-0.0025,0.002,0.094,2.770,0.090,-0.628,1.309,0.0021,-0.015,0.031,2.770,0.072,0.471,-1.943E-14,0.0017,0.011,-3.469E-16,2.770,-0.141,-0.602,4.363,-0.0034,-0.014,0.104,2.770,-0.137,-0.733,0.873,-0.0033,-0.017,0.021,2.770,0.031,0.602,1.309,7.5000E-4,0.014,0.031,2.770,0.102,0.340,-2.182,0.0024,0.008,-0.052,2.770,0.061,0.759,-0.436,0.0015,0.018,-0.010,2.770,0.130,0.105,-2.618,0.0031,0.003,-0.063,2.770,-0.127,-0.183,4.363,-0.0030,-0.004,0.104,2.770,-0.110,0.131,6.981,-0.0026,0.003,0.167,2.770,0.159,0.079,-5.672,0.0038,0.002,-0.135,2.770,-0.094,-0.393,1.309,-0.0023,-0.009,0.031,2.770,0.265,0.864,-6.981,0.0063,0.021,-0.167
2.780,-0.102,0.707,-0.873,-0.0024,0.017,-0.021,2.780,-0.107,0.131,4.800,-0.0025,0.003,0.115,2.780,0.083,-0.628,0.436,0.0020,-0.015,0.010,2.780,0.077,0.471,-0.436,0.0018,0.011,-0.010,2.780,-0.146,-0.550,3.054,-0.0035,-0.013,0.073,2.780,-0.145,-0.733,2.618,-0.0035,-0.017,0.062,2.780,0.036,0.628,3.491,8.6250E-4,0.015,0.083,2.780,0.105,0.314,-1.745,0.0025,0.007,-0.042,2.780,0.069,0.733,-1.745,0.0017,0.017,-0.042,2.780,0.132,0.079,-4.800,0.0032,0.002,-0.115,2.780,-0.129,-0.183,2.182,-0.0031,-0.004,0.052,2.780,-0.107,0.209,6.545,-0.0025,0.005,0.156,2.780,0.159,0.000,-6.981,0.0038,0.000,-0.167,2.780,-0.099,-0.367,2.182,-0.0024,-0.009,0.052,2.780,0.272,0.812,-4.363,0.0065,0.019,-0.104
2.790,-0.094,0.681,-0.873,-0.0023,0.016,-0.021,2.790,-0.105,0.183,5.236,-0.0025,0.004,0.125,2.790,0.077,-0.628,0.436,0.0018,-0.015,0.010,2.790,0.082,0.471,-1.309,0.0019,0.011,-0.031,2.790,-0.152,-0.550,2.618,-0.0036,-0.013,0.062,2.790,-0.151,-0.681,3.927,-0.0036,-0.016,0.094,2.790,0.044,0.681,3.927,0.0011,0.016,0.094,2.790,0.108,0.314,-2.182,0.0026,0.007,-0.052,2.790,0.075,0.707,-0.873,0.0018,0.017,-0.021,2.790,0.132,0.000,-6.545,0.0032,0.000,-0.156,2.790,-0.130,-0.183,3.054,-0.0031,-0.004,0.073,2.790,-0.105,0.262,6.109,-0.0025,0.006,0.146,2.790,0.159,-0.079,-6.545,0.0038,-0.002,-0.156,2.790,-0.102,-0.340,2.618,-0.0024,-0.008,0.063,2.790,0.281,0.812,-4.363,0.0067,0.019,-0.104
2.800,-0.088,0.681,-1.665E-14,-0.0021,0.016,-6.939E-16,2.800,-0.102,0.236,5.672,-0.0024,0.006,0.135,2.800,0.071,-0.628,1.745,0.0017,-0.015,0.042,2.800,0.086,0.445,-1.745,0.0021,0.011,-0.042,2.800,-0.157,-0.524,3.491,-0.0038,-0.013,0.083,2.800,-0.159,-0.628,3.927,-0.0038,-0.015,0.094,2.800,0.050,0.733,2.618,0.0012,0.017,0.063,2.800,0.112,0.288,-3.054,0.0027,0.007,-0.073,2.800,0.083,0.707,0.873,0.0020,0.017,0.021,2.800,0.132,-0.079,-6.109,0.0032,-0.002,-0.146,2.800,-0.134,-0.131,5.236,-0.0032,-0.003,0.125,2.800,-0.102,0.314,6.109,-0.0024,0.007,0.146,2.800,0.157,-0.131,-5.672,0.0038,-0.003,-0.135,2.800,-0.105,-0.314,2.618,-0.0025,-0.008,0.062,2.800,0.289,0.759,-6.545,0.0069,0.018,-0.156
2.810,-0.082,0.681,0.873,-0.0020,0.016,0.021,2.810,-0.101,0.288,6.981,-0.0024,0.007,0.167,2.810,0.064,-0.602,3.491,0.0015,-0.014,0.083,2.810,0.091,0.419,-1.309,0.0022,0.010,-0.031,2.810,-0.163,-0.471,4.800,-0.0039,-0.011,0.115,2.810,-0.163,-0.602,3.054,-0.0039,-0.014,0.073,2.810,0.058,0.733,0.873,0.0014,0.017,0.021,2.810,0.115,0.236,-3.054,0.0027,0.006,-0.073,2.810,0.090,0.733,2.182,0.0021,0.018,0.052,2.810,0.130,-0.131,-4.363,0.0031,-0.003,-0.104,2.810,-0.134,-0.052,5.236,-0.0032,-0.001,0.125,2.810,-0.099,0.393,6.109,-0.0024,0.009,0.146,2.810,0.156,-0.183,-5.672,0.0037,-0.004,-0.135,2.810,-0.108,-0.288,2.618,-0.0026,-0.007,0.062,2.810,0.297,0.654,-8.290,0.0071,0.016,-0.198
2.820,-0.074,0.707,0.436,-0.0018,0.017,0.010,2.820,-0.097,0.367,8.290,-0.0023,0.009,0.198,2.820,0.058,-0.550,4.363,0.0014,-0.013,0.104,2.820,0.094,0.419,-0.436,0.0022,0.010,-0.010,2.820,-0.167,-0.419,4.800,-0.0040,-0.010,0.115,2.820,-0.170,-0.576,3.054,-0.0041,-0.014,0.073,2.820,0.066,0.733,0.436,0.0016,0.018,0.010,2.820,0.116,0.209,-2.182,0.0028,0.005,-0.052,2.820,0.097,0.759,1.745,0.0023,0.018,0.042,2.820,0.129,-0.157,-3.491,0.0031,-0.004,-0.083,2.820,-0.134,0.000,3.491,-0.0032,0.000,0.083,2.820,-0.094,0.445,5.236,-0.0022,0.011,0.125,2.820,0.154,-0.236,-6.981,0.0037,-0.006,-0.167,2.820,-0.112,-0.262,2.618,-0.0027,-0.006,0.062,2.820,0.302,0.576,-8.290,0.0072,0.014,-0.198
2.830,-0.068,0.707,-0.436,-0.0016,0.017,-0.010,2.830,-0.093,0.471,8.727,-0.0022,0.011,0.208,2.830,0.053,-0.497,3.054,0.0013,-0.012,0.073,2.830,0.099,0.419,-0.436,0.0024,0.010,-0.010,2.830,-0.171,-0.367,4.800,-0.0041,-0.009,0.115,2.830,-0.176,-0.550,3.927,-0.0042,-0.013,0.094,2.830,0.072,0.733,1.309,0.0017,0.018,0.031,2.830,0.118,0.209,-2.618,0.0028,0.005,-0.062,2.830,0.105,0.785,-0.436,0.0025,0.019,-0.010,2.830,0.127,-0.183,-4.363,0.0030,-0.004,-0.104,2.830,-0.134,0.000,3.054,-0.0032,0.000,0.073,2.830,-0.090,0.497,3.927,-0.0021,0.012,0.094,2.830,0.151,-0.314,-8.727,0.0036,-0.007,-0.208,2.830,-0.113,-0.236,2.618,-0.0027,-0.006,0.062,2.830,0.308,0.497,-8.290,0.0073,0.012,-0.198
2.840,-0.060,0.681,-0.873,-0.0014,0.016,-0.021,2.840,-0.088,0.550,8.290,-0.0021,0.013,0.198,2.840,0.049,-0.471,0.873,0.0012,-0.011,0.021,2.840,0.104,0.419,-1.745,0.0025,0.010,-0.042,2.840,-0.174,-0.340,5.672,-0.0042,-0.008,0.135,2.840,-0.181,-0.497,4.800,-0.0043,-0.012,0.115,2.840,0.080,0.759,1.309,0.0019,0.018,0.031,2.840,0.121,0.183,-4.363,0.0029,0.004,-0.104,2.840,0.113,0.759,-3.054,0.0027,0.018,-0.073,2.840,0.126,-0.236,-6.109,0.0030,-0.006,-0.146,2.840,-0.134,0.026,4.800,-0.0032,6.250E-4,0.115,2.840,-0.085,0.524,3.054,-0.0020,0.013,0.073,2.840,0.148,-0.419,-9.599,0.0035,-0.010,-0.229,2.840,-0.116,-0.209,2.618,-0.0028,-0.005,0.063,2.840,0.313,0.419,-8.727,0.0075,0.010,-0.208
2.850,-0.053,0.681,-0.873,-0.0013,0.016,-0.021,2.850,-0.082,0.628,7.418,-0.0019,0.015,0.177,2.850,0.044,-0.497,0.436,0.0011,-0.012,0.010,2.850,0.107,0.393,-3.491,0.0026,0.009,-0.083,2.850,-0.178,-0.262,6.545,-0.0042,-0.006,0.156,2.850,-0.185,-0.445,5.236,-0.0044,-0.011,0.125,2.850,0.088,0.785,-0.436,0.0021,0.019,-0.010,2.850,0.123,0.105,-4.800,0.0029,0.002,-0.115,2.850,0.121,0.707,-4.363,0.0029,0.017,-0.104,2.850,0.123,-0.314,-6.545,0.0029,-0.007,-0.156,2.850,-0.134,0.105,6.545,-0.0032,0.002,0.156,2.850,-0.079,0.550,2.618,-0.0019,0.013,0.062,2.850,0.143,-0.524,-8.290,0.0034,-0.013,-0.198,2.850,-0.118,-0.183,2.618,-0.0028,-0.004,0.063,2.850,0.316,0.314,-8.727,0.0075,0.007,-0.208
2.860,-0.047,0.681,-1.745,-0.0011,0.016,-0.042,2.860,-0.075,0.707,6.545,-0.0018,0.017,0.156,2.860,0.039,-0.497,2.618,9.3750E-4,-0.012,0.063,2.860,0.112,0.340,-4.363,0.0027,0.008,-0.104,2.860,-0.181,-0.183,6.109,-0.0043,-0.004,0.146,2.860,-0.190,-0.393,5.236,-0.0045,-0.009,0.125,2.860,0.096,0.759,-2.618,0.0023,0.018,-0.062,2.860,0.123,0.052,-3.054,0.0029,0.001,-0.073,2.860,0.127,0.654,-3.491,0.0030,0.016,-0.083,2.860,0.119,-0.393,-5.236,0.0029,-0.009,-0.125,2.860,-0.132,0.183,6.545,-0.0032,0.004,0.156,2.860,-0.074,0.576,2.618,-0.0018,0.014,0.062,2.860,0.137,-0.602,-5.672,0.0033,-0.014,-0.135,2.860,-0.119,-0.157,3.054,-0.0029,-0.004,0.073,2.860,0.319,0.236,-8.290,0.0076,0.006,-0.198
2.870,-0.039,0.654,-3.491,-9.3750E-4,0.016,-0.083,2.870,-0.068,0.759,5.672,-0.0016,0.018,0.135,2.870,0.033,-0.445,5.236,7.8750E-4,-0.011,0.125,2.870,0.115,0.288,-3.054,0.0027,0.007,-0.073,2.870,-0.181,-0.131,4.363,-0.0043,-0.003,0.104,2.870,-0.193,-0.340,5.236,-0.0046,-0.008,0.125,2.870,0.104,0.707,-2.618,0.0025,0.017,-0.063,2.870,0.123,0.052,-1.309,0.0029,0.001,-0.031,2.870,0.134,0.628,-1.745,0.0032,0.015,-0.042,2.870,0.115,-0.419,-4.363,0.0027,-0.010,-0.104,2.870,-0.129,0.236,5.672,-0.0031,0.006,0.135,2.870,-0.068,0.602,2.618,-0.0016,0.014,0.062,2.870,0.130,-0.628,-3.054,0.0031,-0.015,-0.073,2.870,-0.121,-0.131,3.927,-0.0029,-0.003,0.094,2.870,0.320,0.157,-7.854,0.0076,0.004,-0.187
2.880,-0.033,0.602,-4.363,-7.8750E-4,0.014,-0.104,2.880,-0.060,0.812,5.236,-0.0014,0.019,0.125,2.880,0.030,-0.367,5.236,7.1250E-4,-0.009,0.125,2.880,0.116,0.262,-0.873,0.0028,0.006,-0.021,2.880,-0.182,-0.105,3.491,-0.0044,-0.003,0.083,2.880,-0.196,-0.288,5.236,-0.0047,-0.007,0.125,2.880,0.110,0.681,-0.436,0.0026,0.016,-0.010,2.880,0.124,0.052,-1.745,0.0030,0.001,-0.042,2.880,0.140,0.628,-0.873,0.0033,0.015,-0.021,2.880,0.110,-0.445,-5.672,0.0026,-0.011,-0.135,2.880,-0.127,0.288,5.236,-0.0030,0.007,0.125,2.880,-0.061,0.628,3.491,-0.0015,0.015,0.083,2.880,0.124,-0.654,-0.873,0.0030,-0.016,-0.021,2.880,-0.123,-0.079,4.363,-0.0029,-0.002,0.104,2.880,0.322,0.079,-8.290,0.0077,0.002,-0.198
2.890,-0.028,0.550,-3.927,-6.7500E-4,0.013,-0.094,2.890,-0.052,0.864,4.800,-0.0012,0.021,0.115,2.890,0.027,-0.314,3.054,6.3750E-4,-0.007,0.073,2.890,0.119,0.288,-0.873,0.0029,0.007,-0.021,2.890,-0.184,-0.079,3.927,-0.0044,-0.002,0.094,2.890,-0.199,-0.236,5.236,-0.0048,-0.006,0.125,2.890,0.116,0.707,0.873,0.0028,0.017,0.021,2.890,0.124,0.026,-3.054,0.0030,6.250E-4,-0.073,2.890,0.146,0.628,-1.745,0.0035,0.015,-0.042,2.890,0.107,-0.524,-6.981,0.0026,-0.013,-0.167,2.890,-0.124,0.340,4.800,-0.0030,0.008,0.115,2.890,-0.055,0.654,4.800,-0.0013,0.016,0.115,2.890,0.118,-0.654,0.436,0.0028,-0.016,0.010,2.890,-0.123,-0.026,3.491,-0.0029,-6.250E-4,0.083,2.890,0.322,0.000,-9.163,0.0077,0.000,-0.219
2.900,-0.022,0.524,-3.054,-5.2500E-4,0.012,-0.073,2.900,-0.042,0.916,3.491,-0.0010,0.022,0.083,2.900,0.024,-0.314,1.309,5.6250E-4,-0.007,0.031,2.900,0.123,0.288,-3.491,0.0029,0.007,-0.083,2.900,-0.184,-0.026,4.800,-0.0044,-6.250E-4,0.115,2.900,-0.201,-0.183,5.236,-0.0048,-0.004,0.125,2.900,0.124,0.733,-0.873,0.0030,0.017,-0.021,2.900,0.124,-0.026,-3.927,0.0030,-6.250E-4,-0.094,2.900,0.152,0.602,-3.927,0.0036,0.014,-0.094,2.900,0.101,-0.628,-3.927,0.0024,-0.015,-0.094,2.900,-0.119,0.393,3.927,-0.0029,0.009,0.094,2.900,-0.049,0.733,4.363,-0.0012,0.017,0.104,2.900,0.110,-0.628,-0.436,0.0026,-0.015,-0.010,2.900,-0.123,0.000,1.745,-0.0029,0.000,0.042,2.900,0.322,-0.105,-10.036,0.0077,-0.003,-0.240
2.910,-0.017,0.497,-2.618,-4.1250E-4,0.012,-0.062,2.910,-0.033,0.942,2.182,-7.8750E-4,0.022,0.052,2.910,0.020,-0.314,1.745,4.8750E-4,-0.008,0.042,2.910,0.126,0.209,-5.672,0.0030,0.005,-0.135,2.910,-0.184,0.026,5.672,-0.0044,6.250E-4,0.135,2.910,-0.203,-0.131,5.236,-0.0048,-0.003,0.125,2.910,0.132,0.707,-4.800,0.0032,0.017,-0.115,2.910,0.124,-0.052,-4.363,0.0030,-0.001,-0.104,2.910,0.159,0.550,-6.109,0.0038,0.013,-0.146,2.910,0.093,-0.654,3.054,0.0022,-0.016,0.073,2.910,-0.116,0.419,3.054,-0.0028,0.010,0.073,2.910,-0.041,0.785,1.309,-9.7500E-4,0.019,0.031,2.910,0.105,-0.628,-4.363,0.0025,-0.015,-0.104,2.910,-0.123,0.000,1.309,-0.0029,0.000,0.031,2.910,0.320,-0.209,-10.036,0.0076,-0.005,-0.240
2.920,-0.013,0.471,-3.054,-3.0000E-4,0.011,-0.073,2.920,-0.024,0.942,1.745,-5.6250E-4,0.022,0.042,2.920,0.017,-0.288,3.927,4.1250E-4,-0.007,0.094,2.920,0.127,0.131,-4.800,0.0030,0.003,-0.115,2.920,-0.184,0.079,6.545,-0.0044,0.002,0.156,2.920,-0.204,-0.079,4.800,-0.0049,-0.002,0.115,2.920,0.138,0.628,-7.418,0.0033,0.015,-0.177,2.920,0.123,-0.105,-4.363,0.0029,-0.003,-0.104,2.920,0.163,0.471,-6.545,0.0039,0.011,-0.156,2.920,0.086,-0.550,7.854,0.0021,-0.013,0.187,2.920,-0.112,0.445,2.618,-0.0027,0.011,0.062,2.920,-0.031,0.759,-1.745,-7.5000E-4,0.018,-0.042,2.920,0.099,-0.707,-7.854,0.0024,-0.017,-0.187,2.920,-0.123,0.000,2.618,-0.0029,0.000,0.063,2.920,0.317,-0.314,-9.163,0.0076,-0.007,-0.219
2.930,-0.008,0.445,-3.927,-1.8750E-4,0.011,-0.094,2.930,-0.014,0.969,1.745,-3.3750E-4,0.023,0.042,2.930,0.014,-0.236,5.672,3.3750E-4,-0.006,0.135,2.930,0.127,0.105,-2.182,0.0030,0.003,-0.052,2.930,-0.182,0.157,7.418,-0.0044,0.004,0.177,2.930,-0.204,-0.026,3.927,-0.0049,-6.250E-4,0.094,2.930,0.145,0.524,-6.545,0.0035,0.012,-0.156,2.930,0.123,-0.157,-3.927,0.0029,-0.004,-0.094,2.930,0.168,0.393,-4.800,0.0040,0.009,-0.115,2.930,0.082,-0.419,5.672,0.0020,-0.010,0.135,2.930,-0.107,0.471,2.618,-0.0026,0.011,0.063,2.930,-0.025,0.707,-1.309,-6.0000E-4,0.017,-0.031,2.930,0.091,-0.838,-6.981,0.0022,-0.020,-0.167,2.930,-0.123,0.052,4.363,-0.0029,0.001,0.104,2.930,0.314,-0.393,-8.290,0.0075,-0.009,-0.198
2.940,-0.003,0.393,-4.363,-7.5000E-5,0.009,-0.104,2.940,-0.005,0.995,0.873,-1.1250E-4,0.024,0.021,2.940,0.013,-0.157,5.672,3.0000E-4,-0.004,0.135,2.940,0.129,0.105,-0.873,0.0031,0.003,-0.021,2.940,-0.181,0.236,7.418,-0.0043,0.006,0.177,2.940,-0.204,0.000,3.491,-0.0049,0.000,0.083,2.940,0.149,0.471,-3.054,0.0036,0.011,-0.073,2.940,0.119,-0.183,-3.054,0.0029,-0.004,-0.073,2.940,0.171,0.367,-2.182,0.0041,0.009,-0.052,2.940,0.079,-0.393,-1.309,0.0019,-0.009,-0.031,2.940,-0.102,0.497,2.618,-0.0024,0.012,0.062,2.940,-0.019,0.707,0.873,-4.5000E-4,0.017,0.021,2.940,0.082,-0.890,-2.182,0.0020,-0.021,-0.052,2.940,-0.123,0.105,4.800,-0.0029,0.002,0.115,2.940,0.309,-0.471,-7.854,0.0074,-0.011,-0.187
2.950,7.373E-18,0.340,-3.927,-4.3097E-18,0.008,-0.094,2.950,0.006,0.995,-0.873,1.5000E-4,0.024,-0.021,2.950,0.011,-0.105,4.363,2.6250E-4,-0.002,0.104,2.950,0.130,0.105,-1.309,0.0031,0.002,-0.031,2.950,-0.178,0.314,5.672,-0.0042,0.008,0.135,2.950,-0.204,0.026,4.363,-0.0049,6.250E-4,0.104,2.950,0.152,0.471,2.776E-13,0.0036,0.011,7.026E-15,2.950,0.118,-0.209,-3.491,0.0028,-0.005,-0.083,2.950,0.174,0.367,-1.745,0.0042,0.009,-0.042,2.950,0.075,-0.471,-6.109,0.0018,-0.011,-0.146,2.950,-0.097,0.524,2.182,-0.0023,0.013,0.052,2.950,-0.011,0.759,1.309,-2.6250E-4,0.018,0.031,2.950,0.072,-0.864,2.182,0.0017,-0.021,0.052,2.950,-0.119,0.157,3.927,-0.0029,0.004,0.094,2.950,0.305,-0.550,-8.290,0.0073,-0.013,-0.198
